timestamp,symbol,action,decision,best_side,best_confidence,buy_confidence,sell_confidence,buy_score,sell_score,buy_base_score,sell_base_score,buy_smc_score,sell_smc_score,buy_participation_score,sell_participation_score,buy_hard_ok,sell_hard_ok,buy_level_ok,sell_level_ok,buy_level,sell_level,buy_level_source,sell_level_source,buy_smc_sweep,sell_smc_sweep,buy_smc_order_block,sell_smc_order_block,buy_smc_fvg_support,sell_smc_fvg_support,buy_smc_fvg_block,sell_smc_fvg_block,btc_trend,btc_corr,relative_strength,entry_close,trend_close,confirm_close,futures_context_available,oi_change_pct,taker_buy_sell_ratio,global_long_short_ratio,top_long_short_ratio,funding_rate,skip_reason
2026-06-21T11:01:50,RAYSOLUSDT,NO_SIGNAL,NONE,SELL,68.32,60.68,68.32,20.63,23.23,18,24,2.63,-0.77,0,0,False,False,True,True,0.5864,0.6441,1d_pivot,1d_pivot,,,4h_ob,,4h_bullish_fvg,1d_bearish_fvg,,4h_bullish_fvg,BEARISH,0.71,3.62,0.6227,0.6282,0.6257,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:52,VIRTUALUSDT,NO_SIGNAL,NONE,SELL,78.24,63.35,78.24,21.54,26.6,19,24,2.54,2.6,0,0,False,False,True,True,0.592,0.6231,1d_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,1d_bearish_fvg,,,BEARISH,0.64,-0.38,0.6089,0.6089,0.6123,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:53,MEUSDT,NO_SIGNAL,NONE,SELL,92.68,42.59,92.68,14.48,31.51,13,30,1.48,1.51,0,0,False,False,True,True,0.05877,0.0623,4h_pivot,4h_pivot,,,4h_ob,4h_ob,,,,,BEARISH,0.66,-1.28,0.06226,0.06284,0.06261,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:54,AVAUSDT,NO_SIGNAL,NONE,BUY,67.06,67.06,64.79,22.8,22.03,20,22,2.8,0.03,0,0,False,False,True,True,0.1963,0.2093,1d_pivot,1d_pivot,,,4h_ob,1d_ob,1d_bullish_fvg,,,1d_bullish_fvg,BEARISH,0.55,1.95,0.1974,0.1979,0.1975,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:56,MOCAUSDT,NO_SIGNAL,NONE,SELL,69.68,49.15,69.68,16.71,23.69,14,24,2.71,-0.31,0,0,False,False,True,True,0.00949,0.0102,4h_pivot,1d_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.64,0.64,0.00975,0.0098,0.00976,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:57,VANAUSDT,NO_SIGNAL,NONE,SELL,78.5,57.65,78.5,19.6,26.69,18,26,1.6,0.69,0,0,False,False,True,True,1.086,1.19,4h_pivot,4h_pivot,,,4h_ob,,,1d_bearish_fvg,,,BEARISH,0.62,3.62,1.143,1.148,1.151,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:59,PENGUUSDT,NO_SIGNAL,NONE,SELL,82.35,43.85,82.35,14.91,28,13,28,1.91,0,0,0,False,False,True,True,0.006583,0.007376,1d_pivot,1d_pivot,,,4h_ob,,,,,,BEARISH,0.7,-0.32,0.006762,0.006792,0.006795,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:00,LUMIAUSDT,NO_SIGNAL,NONE,BUY,66.97,66.97,42.65,22.77,14.5,22,16,0.77,-1.5,0,0,False,False,True,False,0.10934,,1d_pivot,,,,,,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.28,19.38,0.11707,0.11834,0.11628,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:01,USUALUSDT,NO_SIGNAL,NONE,SELL,88.53,48.35,88.53,16.44,30.1,14,30,2.44,0.1,0,0,False,False,True,True,0.01002,0.01043,4h_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.64,-2.79,0.01009,0.01015,0.01018,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:03,AIXBTUSDT,NO_SIGNAL,NONE,SELL,79.79,23.38,79.79,7.95,27.13,7,28,0.95,-0.87,0,0,False,False,False,False,,,,,,,4h_ob,,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,4h_bullish_fvg,BEARISH,0.49,-9.16,0.0224,0.02237,0.02243,False,,,,,,NO_FINAL_SIGNAL
